"b_start","panel","config","series","analysis_model","rate"
37,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","lm_time",0.7425375
37,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","lm_time",0.8754375
37,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","lm_time",0.699775
37,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","lm_time",0.7312
37,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","lm_time",0.8972875
37,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","lm_time",0.6998625
37,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","lm_time",0.73305
37,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","lm_time",0.8991875
37,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","lm_time",0.6042125
37,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","lm_time",0.6317
37,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","lm_time",0.8299125
49,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","lm_time",0.592425
49,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","lm_time",0.7093125
49,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","lm_time",0.8760125
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","lm_time",0.58925
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","lm_time",0.7078125
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","lm_time",0.8757375
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","lm_time",0.6919
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","lm_time",0.71035
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","lm_time",0.9075875
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","lm_time",0.6922
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","lm_time",0.7086625
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","lm_time",0.9060375
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","lm_time",0.5891625
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","lm_time",0.6082125
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","lm_time",0.8355125
1,"Big stick design (a = 3)","favor_B (eta>0)","A","ttest",0.6178375
1,"Big stick design (a = 3)","favor_B (eta>0)","B","ttest",0.6373
1,"Big stick design (a = 3)","favor_B (eta>0)","FWER","ttest",0.786225
1,"Big stick design (a = 3)","favor_B_2step (eta>0)","A","ttest",0.554525
1,"Big stick design (a = 3)","favor_B_2step (eta>0)","B","ttest",0.6721875
1,"Big stick design (a = 3)","favor_B_2step (eta>0)","FWER","ttest",0.7818375
1,"Big stick design (a = 3)","favor_all_exp (eta>0)","A","ttest",0.6253625
1,"Big stick design (a = 3)","favor_all_exp (eta>0)","B","ttest",0.629075
1,"Big stick design (a = 3)","favor_all_exp (eta>0)","FWER","ttest",0.7864125
1,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","A","ttest",0.6287
1,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","B","ttest",0.6303625
1,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","FWER","ttest",0.7896375
13,"Big stick design (a = 3)","favor_B (eta>0)","A","ttest",0.61355
13,"Big stick design (a = 3)","favor_B (eta>0)","B","ttest",0.6964125
13,"Big stick design (a = 3)","favor_B (eta>0)","FWER","ttest",0.8220875
13,"Big stick design (a = 3)","favor_B_2step (eta>0)","A","ttest",0.562
13,"Big stick design (a = 3)","favor_B_2step (eta>0)","B","ttest",0.71425
13,"Big stick design (a = 3)","favor_B_2step (eta>0)","FWER","ttest",0.817025
13,"Big stick design (a = 3)","favor_all_exp (eta>0)","A","ttest",0.6265
13,"Big stick design (a = 3)","favor_all_exp (eta>0)","B","ttest",0.6707875
13,"Big stick design (a = 3)","favor_all_exp (eta>0)","FWER","ttest",0.8161625
13,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","A","ttest",0.6257875
13,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","B","ttest",0.667575
13,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","FWER","ttest",0.814725
25,"Big stick design (a = 3)","favor_B (eta>0)","A","ttest",0.605875
25,"Big stick design (a = 3)","favor_B (eta>0)","B","ttest",0.737025
25,"Big stick design (a = 3)","favor_B (eta>0)","FWER","ttest",0.849
25,"Big stick design (a = 3)","favor_B_2step (eta>0)","A","ttest",0.5715875
25,"Big stick design (a = 3)","favor_B_2step (eta>0)","B","ttest",0.7477375
25,"Big stick design (a = 3)","favor_B_2step (eta>0)","FWER","ttest",0.8448875
25,"Big stick design (a = 3)","favor_all_exp (eta>0)","A","ttest",0.6275
25,"Big stick design (a = 3)","favor_all_exp (eta>0)","B","ttest",0.708275
25,"Big stick design (a = 3)","favor_all_exp (eta>0)","FWER","ttest",0.8397875
25,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","A","ttest",0.6294875
25,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","B","ttest",0.706325
25,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","FWER","ttest",0.8414125
37,"Big stick design (a = 3)","favor_B (eta>0)","A","ttest",0.6010625
37,"Big stick design (a = 3)","favor_B (eta>0)","B","ttest",0.7705375
37,"Big stick design (a = 3)","favor_B (eta>0)","FWER","ttest",0.867875
37,"Big stick design (a = 3)","favor_B_2step (eta>0)","A","ttest",0.5843375
37,"Big stick design (a = 3)","favor_B_2step (eta>0)","B","ttest",0.7760875
37,"Big stick design (a = 3)","favor_B_2step (eta>0)","FWER","ttest",0.8676625
37,"Big stick design (a = 3)","favor_all_exp (eta>0)","A","ttest",0.627075
37,"Big stick design (a = 3)","favor_all_exp (eta>0)","B","ttest",0.7378125
37,"Big stick design (a = 3)","favor_all_exp (eta>0)","FWER","ttest",0.860975
37,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","A","ttest",0.62865
37,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","B","ttest",0.7342
37,"Big stick design (a = 3)","favor_all_exp_2step (eta>0)","FWER","ttest",0.8591875
49,"Big stick design (a = 3)","favor_B (eta>0)","A","ttest",0.6008375
49,"Big stick design (a = 3)","favor_B (eta>0)","B","ttest",0.8012875
49,"Big stick design (a = 3)","favor_B (eta>0)","FWER","ttest",0.8887375
49,"Big stick design (a = 3)","favor_B_2step (eta>0)","A","ttest",0.59845
49,"Big stick design (a = 3)","favor_B_2step (eta>0)","B","ttest",0.8009375
