"b_start","panel","analysis_model","config","t1e_A","t1e_B","fwer","alloc_bias_B"
13,"Complete randomization","ttest","favor_B_2step (eta>0)",0.0202625,0.036725,0.0530125,-0.102644481541666
13,"Complete randomization","ttest","favor_all_exp (eta>0)",0.0269,0.0269625,0.049425,-0.102633643959154
13,"Complete randomization","ttest","favor_all_exp_2step (eta>0)",0.0277,0.02615,0.0498875,-0.102865525453023
25,"Complete randomization","ttest","favor_B (eta>0)",0.0263,0.0326,0.0550625,-0.19320367501121
25,"Complete randomization","ttest","favor_B_2step (eta>0)",0.02255,0.0366,0.0556375,-0.192875247285116
25,"Complete randomization","ttest","favor_all_exp (eta>0)",0.0269375,0.027,0.0506625,-0.193150627661651
25,"Complete randomization","ttest","favor_all_exp_2step (eta>0)",0.0257875,0.0267,0.0494375,-0.193395799294049
37,"Complete randomization","ttest","favor_B (eta>0)",0.0247,0.0355,0.0566625,-0.266265908256377
37,"Complete randomization","ttest","favor_B_2step (eta>0)",0.0233625,0.0376875,0.0577125,-0.266842834052269
37,"Complete randomization","ttest","favor_all_exp (eta>0)",0.027075,0.02765,0.0518125,-0.266376435964432
37,"Complete randomization","ttest","favor_all_exp_2step (eta>0)",0.0271875,0.0258625,0.05045,-0.266399258074735
49,"Complete randomization","ttest","favor_B (eta>0)",0.025125,0.03845,0.060525,-0.328073538981304
49,"Complete randomization","ttest","favor_B_2step (eta>0)",0.025075,0.0385,0.0607125,-0.328564299541607
49,"Complete randomization","ttest","favor_all_exp (eta>0)",0.02745,0.0288125,0.053875,-0.328927035775381
49,"Complete randomization","ttest","favor_all_exp_2step (eta>0)",0.0280875,0.0290125,0.0547625,-0.328586561896825
1,"Complete randomization","lm_time","favor_B (eta>0)",0.02565,0.028525,0.04915,-0.000122916666666602
1,"Complete randomization","lm_time","favor_B_2step (eta>0)",0.0203125,0.0359625,0.051825,0.000350520833333275
1,"Complete randomization","lm_time","favor_all_exp (eta>0)",0.0272625,0.0270125,0.0494625,-0.000144270833333386
1,"Complete randomization","lm_time","favor_all_exp_2step (eta>0)",0.02835,0.02905,0.052325,0.000787499999999941
13,"Complete randomization","lm_time","favor_B (eta>0)",0.0259125,0.0287125,0.0500375,-0.102975603601751
13,"Complete randomization","lm_time","favor_B_2step (eta>0)",0.0195625,0.0367125,0.0525,-0.103041025061268
13,"Complete randomization","lm_time","favor_all_exp (eta>0)",0.026775,0.0276625,0.0506375,-0.102486211983367
13,"Complete randomization","lm_time","favor_all_exp_2step (eta>0)",0.029075,0.0285875,0.0532875,-0.103642768046737
25,"Complete randomization","lm_time","favor_B (eta>0)",0.0266,0.028125,0.0518,-0.19317428600661
25,"Complete randomization","lm_time","favor_B_2step (eta>0)",0.0216125,0.034525,0.053125,-0.193742051811426
